"01,07,26,38,42
43,69,71,73,74","03,05,13,21,25
30,34,39,63,70,84","10,18,36,52,58
68,83,88,89,90","04,11,15,23,45
54,55,57,66,67,87","02,06,08,12,19,24
27,28,31,32,37,41,47
48,51,76,79,80,82,86","09,14,16,17,33,46
56,59,61,62,65,72
75,77,78,81,91
92,93,94,95","20,22,29,35,40
44,49,50,53,60
64,85","PT-16, PT-03, PT-13
PT-17, PT-04, PT-18, PT-01
PT-06, PT-09, PT-05","PT-11, PT-10, PT-14
PT-15, PT-02, PT-08, PT-07
PT-12"
"0-49,9",58,63,66,68,74,77,105,89,93
"49,9-99,9",64,71,75,78,85,89,121,99,106
"99,9-149,9",83,93,97,102,112,118,163,108,118
"149,9-199,9",103,116,123,129,143,150,210,127,141
"199,9-299,9",143,164,173,183,203,215,300,164,186
"299,9-399,9",172,197,209,221,246,260,300,200,230
"399,9-499,9",200,200,250,250,300,300,300,235,272
"499,9-599,9",200,200,250,250,300,300,300,262,304
"599,9-699,9",200,200,250,250,300,300,300,297,346
"699,9-1000",200,200,250,250,300,300,300,393,462
